course_id,semester,name,roomcode,buildingname,start,end
0008,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-12-02T16:00:00,2019-12-02T18:30:00
0008,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-12-04T16:00:00,2019-12-04T18:30:00
0008,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-12-09T16:00:00,2019-12-09T18:30:00
0008,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-12-11T16:00:00,2019-12-11T18:30:00
0008,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-12-16T16:00:00,2019-12-16T18:30:00
0008,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-12-18T16:00:00,2019-12-18T18:30:00
0008,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2020-01-08T16:00:00,2020-01-08T18:30:00
0008,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2020-01-13T16:00:00,2020-01-13T18:30:00
0008,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2020-01-15T16:00:00,2020-01-15T18:30:00
0008,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2020-01-20T16:00:00,2020-01-20T18:30:00
0009,19W,Mathematik,TC.0.03 WIENER STÄDTISCHE,TC,2019-10-14T08:30:00,2019-10-14T11:00:00
0009,19W,Mathematik,TC.0.02 Red Bull,TC,2019-10-16T08:30:00,2019-10-16T11:00:00
0009,19W,Mathematik,TC.0.03 WIENER STÄDTISCHE,TC,2019-10-21T08:30:00,2019-10-21T11:00:00
0009,19W,Mathematik,TC.0.02 Red Bull,TC,2019-10-23T08:30:00,2019-10-23T11:00:00
0009,19W,Mathematik,TC.0.03 WIENER STÄDTISCHE,TC,2019-10-28T08:30:00,2019-10-28T11:00:00
0009,19W,Mathematik,TC.0.02 Red Bull,TC,2019-10-30T08:30:00,2019-10-30T11:00:00
0009,19W,Mathematik,TC.0.03 WIENER STÄDTISCHE,TC,2019-11-04T08:30:00,2019-11-04T11:00:00
0009,19W,Mathematik,TC.0.02 Red Bull,TC,2019-11-06T08:30:00,2019-11-06T11:00:00
0009,19W,Mathematik,TC.0.03 WIENER STÄDTISCHE,TC,2019-11-11T08:30:00,2019-11-11T11:00:00
0009,19W,Mathematik,TC.0.02 Red Bull,TC,2019-11-13T08:30:00,2019-11-13T11:00:00
0010,19W,Mathematik,TC.0.04,TC,2019-10-14T08:30:00,2019-10-14T11:00:00
0010,19W,Mathematik,TC.0.04,TC,2019-10-16T08:30:00,2019-10-16T11:00:00
0010,19W,Mathematik,TC.0.04,TC,2019-10-21T08:30:00,2019-10-21T11:00:00
0010,19W,Mathematik,TC.0.04,TC,2019-10-23T08:30:00,2019-10-23T11:00:00
0010,19W,Mathematik,TC.0.04,TC,2019-10-28T08:30:00,2019-10-28T11:00:00
0010,19W,Mathematik,TC.0.04,TC,2019-10-30T08:30:00,2019-10-30T11:00:00
0010,19W,Mathematik,TC.0.04,TC,2019-11-04T08:30:00,2019-11-04T11:00:00
0010,19W,Mathematik,TC.0.04,TC,2019-11-06T08:30:00,2019-11-06T11:00:00
0010,19W,Mathematik,TC.0.04,TC,2019-11-11T08:30:00,2019-11-11T11:00:00
0010,19W,Mathematik,TC.0.04,TC,2019-11-13T08:30:00,2019-11-13T11:00:00
0011,19W,Fremdsprachliche Wirtschaftskommunikation II - Italienisch,D2.0.342 Teacher Training Raum,D2,2019-09-16T10:00:00,2019-09-16T12:30:00
0011,19W,Fremdsprachliche Wirtschaftskommunikation II - Italienisch,D2.0.342 Teacher Training Raum,D2,2019-09-17T10:00:00,2019-09-17T12:30:00
0011,19W,Fremdsprachliche Wirtschaftskommunikation II - Italienisch,D2.0.342 Teacher Training Raum,D2,2019-09-18T10:00:00,2019-09-18T12:30:00
0011,19W,Fremdsprachliche Wirtschaftskommunikation II - Italienisch,D2.0.342 Teacher Training Raum,D2,2019-09-19T10:00:00,2019-09-19T12:30:00
0011,19W,Fremdsprachliche Wirtschaftskommunikation II - Italienisch,D2.0.342 Teacher Training Raum,D2,2019-09-20T10:00:00,2019-09-20T12:30:00
0011,19W,Fremdsprachliche Wirtschaftskommunikation II - Italienisch,D2.0.342 Teacher Training Raum,D2,2019-09-23T10:00:00,2019-09-23T12:30:00
0011,19W,Fremdsprachliche Wirtschaftskommunikation II - Italienisch,D2.0.038,D2,2019-09-24T10:00:00,2019-09-24T12:30:00
0011,19W,Fremdsprachliche Wirtschaftskommunikation II - Italienisch,D4.0.127,D4,2019-09-25T10:00:00,2019-09-25T12:30:00
0011,19W,Fremdsprachliche Wirtschaftskommunikation II - Italienisch,D4.0.127,D4,2019-09-26T10:00:00,2019-09-26T12:30:00
0011,19W,Fremdsprachliche Wirtschaftskommunikation II - Italienisch,TC.2.03,TC,2019-09-30T10:00:00,2019-09-30T12:30:00
0012,19W,Grundzüge der Programmierung,D2.0.031 Workstation-Raum,D2,2019-12-03T10:00:00,2019-12-03T12:30:00
0012,19W,Grundzüge der Programmierung,D2.0.031 Workstation-Raum,D2,2019-12-05T10:00:00,2019-12-05T12:30:00
0012,19W,Grundzüge der Programmierung,D2.0.031 Workstation-Raum,D2,2019-12-10T10:00:00,2019-12-10T12:30:00
0012,19W,Grundzüge der Programmierung,D2.0.031 Workstation-Raum,D2,2019-12-12T10:00:00,2019-12-12T12:30:00
0012,19W,Grundzüge der Programmierung,D2.0.031 Workstation-Raum,D2,2019-12-17T10:00:00,2019-12-17T12:30:00
0012,19W,Grundzüge der Programmierung,D2.0.031 Workstation-Raum,D2,2019-12-19T10:00:00,2019-12-19T12:30:00
0012,19W,Grundzüge der Programmierung,D2.0.031 Workstation-Raum,D2,2020-01-07T10:00:00,2020-01-07T12:30:00
0012,19W,Grundzüge der Programmierung,D2.0.031 Workstation-Raum,D2,2020-01-09T10:00:00,2020-01-09T12:30:00
0012,19W,Grundzüge der Programmierung,D2.0.031 Workstation-Raum,D2,2020-01-14T10:00:00,2020-01-14T12:30:00
0012,19W,Grundzüge der Programmierung,D2.0.031 Workstation-Raum,D2,2020-01-16T10:00:00,2020-01-16T12:30:00
0013,19W,Grundzüge der Modellierung,TC.3.03,TC,2019-09-30T09:00:00,2019-09-30T13:00:00
0013,19W,Grundzüge der Modellierung,TC.3.03,TC,2019-10-02T09:00:00,2019-10-02T13:00:00
0013,19W,Grundzüge der Modellierung,D5.1.001,D5,2019-10-16T09:00:00,2019-10-16T13:00:00
0013,19W,Grundzüge der Modellierung,D4.0.022,D4,2019-10-29T09:00:00,2019-10-29T13:00:00
0013,19W,Grundzüge der Modellierung,TC.2.01,TC,2019-11-06T10:30:00,2019-11-06T14:30:00
0013,19W,Grundzüge der Modellierung,TC.3.03,TC,2019-11-20T09:00:00,2019-11-20T13:00:00
0014,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-10-16T09:00:00,2019-10-16T12:00:00
0014,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-10-23T09:00:00,2019-10-23T12:00:00
0014,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-10-30T09:00:00,2019-10-30T12:00:00
0014,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-11-06T09:00:00,2019-11-06T12:00:00
0014,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-11-13T09:00:00,2019-11-13T12:00:00
0014,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-12-04T09:00:00,2019-12-04T12:00:00
0014,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-12-11T09:00:00,2019-12-11T12:00:00
0014,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-12-18T09:00:00,2019-12-18T12:00:00
0014,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2020-01-08T09:00:00,2020-01-08T12:00:00
0014,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2020-01-15T09:00:00,2020-01-15T12:00:00
0015,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-10-17T12:00:00,2019-10-17T15:00:00
0015,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-10-24T12:00:00,2019-10-24T15:00:00
0015,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-10-31T12:00:00,2019-10-31T15:00:00
0015,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-11-07T12:00:00,2019-11-07T15:00:00
0015,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-11-14T12:00:00,2019-11-14T15:00:00
0015,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-12-05T12:00:00,2019-12-05T15:00:00
0015,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-12-12T12:00:00,2019-12-12T15:00:00
0015,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2019-12-19T12:00:00,2019-12-19T15:00:00
0015,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2020-01-09T12:00:00,2020-01-09T15:00:00
0015,19W,Betriebliche Informationssysteme II,TC.3.02,TC,2020-01-16T12:00:00,2020-01-16T15:00:00
0016,19W,K1a KMU-Management: Entrepreneurial KMU-Management,LC.2.400 Clubraum,LC,2019-10-02T09:30:00,2019-10-02T11:30:00
0016,19W,K1a KMU-Management: Entrepreneurial KMU-Management,TC.5.02,TC,2019-10-14T13:00:00,2019-10-14T17:00:00
0016,19W,K1a KMU-Management: Entrepreneurial KMU-Management,TC.5.02,TC,2019-10-21T13:00:00,2019-10-21T17:00:00
0016,19W,K1a KMU-Management: Entrepreneurial KMU-Management,TC.5.02,TC,2019-10-28T13:00:00,2019-10-28T17:00:00
0016,19W,K1a KMU-Management: Entrepreneurial KMU-Management,TC.5.02,TC,2019-11-04T13:00:00,2019-11-04T17:00:00
0016,19W,K1a KMU-Management: Entrepreneurial KMU-Management,TC.5.02,TC,2019-11-11T13:00:00,2019-11-11T17:00:00
0016,19W,K1a KMU-Management: Entrepreneurial KMU-Management,TC.2.02,TC,2019-11-20T09:00:00,2019-11-20T11:30:00
0017,19W,K1b KMU-Management: Entrepreneurial KMU-Management,LC.2.400 Clubraum,LC,2019-10-02T09:30:00,2019-10-02T11:30:00
0017,19W,K1b KMU-Management: Entrepreneurial KMU-Management,TC.4.02,TC,2019-10-07T09:00:00,2019-10-07T12:00:00
