pid,name,date_of_birth,date_of_death
66724,Benedikt Rejt,1454-01-01T00:00:00Z,1536-01-01T00:00:00Z
66724,Benedikt Rejt,1454-01-01T00:00:00Z,1534-10-30T00:00:00Z
67031,Ole Scheeren,1971-01-01T00:00:00Z,
99362,Johann Wilhelm Schwedler,1823-06-28T00:00:00Z,1894-06-09T00:00:00Z
84588,Joseph Emanuel Fischer von Erlach,1693-09-13T00:00:00Z,1742-06-29T00:00:00Z
66169,George Bähr,1666-03-15T00:00:00Z,1738-03-16T00:00:00Z
66855,Richard Cassels,1690-01-01T00:00:00Z,1751-02-19T00:00:00Z
66677,Bruno Paul,1874-01-19T00:00:00Z,1968-08-17T00:00:00Z
66558,Lazarus von Schwendi,1522-01-01T00:00:00Z,1583-05-28T00:00:00Z
66558,Lazarus von Schwendi,1522-01-01T00:00:00Z,1583-05-27T00:00:00Z
66726,Ernst Neufert,1900-03-15T00:00:00Z,1986-02-23T00:00:00Z
99421,Hugo Eberhardt,1874-01-01T00:00:00Z,1959-04-08T00:00:00Z
99468,Jakob Heilmann,1475-01-01T00:00:00Z,1523-01-01T00:00:00Z
99481,August Exter,1858-01-01T00:00:00Z,1933-01-01T00:00:00Z
84541,Karl von Hasenauer,1833-07-20T00:00:00Z,1894-01-04T00:00:00Z
99652,Jean-Baptiste Métivier,1781-04-01T00:00:00Z,1853-10-15T00:00:00Z
84673,Roland Rainer,1910-05-01T00:00:00Z,2004-04-10T00:00:00Z
66929,Friedrich Wilhelm von Erdmannsdorff,1736-05-18T00:00:00Z,1800-03-09T00:00:00Z
66894,Elias Holl,1573-02-28T00:00:00Z,1646-01-06T00:00:00Z
84902,Clemens Holzmeister,1886-03-27T00:00:00Z,1983-06-12T00:00:00Z
67350,Friedrich Sustris,1540-01-01T00:00:00Z,1599-01-01T00:00:00Z
84590,Ludwig Winter,1846-08-09T00:00:00Z,1912-07-12T00:00:00Z
67034,Max Berg,1870-04-17T00:00:00Z,1947-01-22T00:00:00Z
100566,Wolf Caspar von Klengel,1630-06-08T00:00:00Z,1691-01-10T00:00:00Z
100261,Wilhelm Riphahn,1889-07-25T00:00:00Z,1963-12-27T00:00:00Z
84841,Adam van Düren,1500-01-01T00:00:00Z,1600-01-01T00:00:00Z
67316,Oswald Mathias Ungers,1926-07-12T00:00:00Z,2007-09-30T00:00:00Z
100384,Otto Kloeppel,1873-01-01T00:00:00Z,1942-01-01T00:00:00Z
100542,Werner Düttmann,1921-01-01T00:00:00Z,1983-01-01T00:00:00Z
100377,Ludwig von Tiedemann,1841-11-17T00:00:00Z,1908-03-02T00:00:00Z
84655,Otto Prutscher,1880-04-07T00:00:00Z,1949-02-15T00:00:00Z
76368,Konstantin Thon,1794-11-06T00:00:00Z,1881-02-06T00:00:00Z
25035,Karl Etzel,1812-01-06T00:00:00Z,1865-05-02T00:00:00Z
25328,Antoni Gaudí,1852-06-25T00:00:00Z,1926-06-10T00:00:00Z
100228,Johann Christoph von Naumann,1664-03-30T00:00:00Z,1742-01-08T00:00:00Z
100639,Charles Conrad Schneider,1843-04-24T00:00:00Z,1916-01-08T00:00:00Z
100608,Otto Brückwald,1841-01-01T00:00:00Z,1917-01-01T00:00:00Z
100653,Erwin Barth,1880-01-01T00:00:00Z,1933-01-01T00:00:00Z
76704,Johann Conrad Schlaun,1695-06-05T00:00:00Z,1773-10-21T00:00:00Z
76700,Johann Joseph Couven,1701-11-10T00:00:00Z,1763-09-12T00:00:00Z
67407,Max Littmann,1862-01-03T00:00:00Z,1931-09-20T00:00:00Z
100657,Fritz Encke,1861-04-05T00:00:00Z,1931-03-12T00:00:00Z
76426,Rupprecht Geiger,1908-01-26T00:00:00Z,2009-12-06T00:00:00Z
76573,Dankmar Adler,1844-07-03T00:00:00Z,1900-04-16T00:00:00Z
101021,Hubert Stier,1838-03-27T00:00:00Z,1907-06-25T00:00:00Z
100073,Leberecht Migge,1881-03-20T00:00:00Z,1935-05-30T00:00:00Z
99869,Elisabet Ney,1833-01-26T00:00:00Z,1907-06-29T00:00:00Z
99822,Hans Kramer,1500-01-01T00:00:00Z,1577-01-01T00:00:00Z
101000,Eugen Hönig,1873-05-09T00:00:00Z,1945-01-01T00:00:00Z
100704,Ernst Dircksen,1831-01-01T00:00:00Z,1899-01-01T00:00:00Z
101791,Sep Ruf,1908-03-09T00:00:00Z,1982-07-29T00:00:00Z
76726,Peter Behrens,1868-04-14T00:00:00Z,1940-02-27T00:00:00Z
67612,Paul Bonatz,1877-12-06T00:00:00Z,1956-12-20T00:00:00Z
101193,Charlotte Frank,1959-07-25T00:00:00Z,
101450,Paul Kieschke,1851-01-01T00:00:00Z,1905-01-01T00:00:00Z
101463,Ferdinand Franz Wallraf,1748-07-20T00:00:00Z,1824-03-18T00:00:00Z
101655,Philipp Gerlach,1679-07-24T00:00:00Z,1748-09-17T00:00:00Z
101934,Ludwig Lesser,1869-01-01T00:00:00Z,1957-01-01T00:00:00Z
101921,Christian Friedrich von Leins,1814-11-22T00:00:00Z,1892-08-25T00:00:00Z
68214,Hermann Ende,1829-03-04T00:00:00Z,1907-08-10T00:00:00Z
101795,Hermann Blankenstein,1829-01-01T00:00:00Z,1910-03-06T00:00:00Z
101958,Emanuel von Seidl,1856-08-22T00:00:00Z,1919-12-25T00:00:00Z
68157,Joseph Effner,1687-01-01T00:00:00Z,1745-02-23T00:00:00Z
68157,Joseph Effner,1687-01-01T00:00:00Z,1745-01-01T00:00:00Z
68169,Friedrich Ludwig von Sckell,1750-09-13T00:00:00Z,1823-02-24T00:00:00Z
76730,Erich Mendelsohn,1887-03-21T00:00:00Z,1953-09-16T00:00:00Z
76730,Erich Mendelsohn,1887-03-21T00:00:00Z,1953-09-15T00:00:00Z
67711,David Friedländer,1750-12-06T00:00:00Z,1834-12-25T00:00:00Z
67976,Eduard Knoblauch,1801-09-25T00:00:00Z,1865-05-29T00:00:00Z
101875,Hans von Burghausen,1350-01-01T00:00:00Z,1431-01-01T00:00:00Z
76729,Bruno Taut,1880-05-04T00:00:00Z,1938-12-24T00:00:00Z
68116,Hans Kollhoff,1946-09-18T00:00:00Z,
102284,Jean de Bodt,1670-01-01T00:00:00Z,1745-01-03T00:00:00Z
102274,Peter Latz,1939-01-01T00:00:00Z,
102153,Heinrich Lauterbach,1893-03-02T00:00:00Z,1973-03-16T00:00:00Z
102055,Martin Grünberg,1655-01-01T00:00:00Z,1707-01-01T00:00:00Z
102376,August Menken,1858-01-01T00:00:00Z,1903-01-01T00:00:00Z
76734,Hans Poelzig,1869-04-30T00:00:00Z,1936-06-14T00:00:00Z
85000,Filippo Juvarra,1678-03-27T00:00:00Z,1736-01-31T00:00:00Z
47163,Vitruvius,-0079-01-01T00:00:00Z,-0014-01-01T00:00:00Z
47361,Gaston Castel,1886-08-01T00:00:00Z,1971-02-09T00:00:00Z
85000,Filippo Juvarra,1678-03-07T00:00:00Z,1736-01-31T00:00:00Z
102289,Buckminster Fuller,1895-07-12T00:00:00Z,1983-07-01T00:00:00Z
26737,Józef Gosławski,1908-04-24T00:00:00Z,1963-01-23T00:00:00Z
78484,Rudolf Steiner,1861-02-27T00:00:00Z,1925-03-30T00:00:00Z
78550,Gerhard Hanappi,1929-02-16T00:00:00Z,1980-08-23T00:00:00Z
47780,Zaha Hadid,1950-10-31T00:00:00Z,2016-03-31T00:00:00Z
70487,Karl von Fischer,1782-09-19T00:00:00Z,1820-02-11T00:00:00Z
70487,Karl von Fischer,1782-11-19T00:00:00Z,1820-02-11T00:00:00Z
85218,Jürgen Mayer,1965-10-30T00:00:00Z,
85488,Karl Schwanzer,1918-05-21T00:00:00Z,1975-08-20T00:00:00Z
70696,Werner Sobek,1953-05-16T00:00:00Z,
85017,Joseph Urban,1872-05-26T00:00:00Z,1933-07-10T00:00:00Z
85548,Joseph Kornhäusel,1782-11-13T00:00:00Z,1860-10-31T00:00:00Z
78626,Rudolph Schindler,1887-09-10T00:00:00Z,1953-08-22T00:00:00Z
78626,Rudolph Schindler,1890-01-01T00:00:00Z,1953-08-22T00:00:00Z
76841,Gottfried Böhm,1920-01-23T00:00:00Z,2021-06-09T00:00:00Z
78638,Theophil Hansen,1813-07-13T00:00:00Z,1891-02-17T00:00:00Z
85040,Stanko Bloudek,1890-02-11T00:00:00Z,1959-11-29T00:00:00Z
85040,Stanko Bloudek,1890-02-11T00:00:00Z,1959-11-26T00:00:00Z
85096,Hermann Kaufmann,1955-06-11T00:00:00Z,
78680,Victor Gruen,1903-07-18T00:00:00Z,1980-02-14T00:00:00Z
78626,Rudolph Schindler,1887-09-05T00:00:00Z,1953-08-22T00:00:00Z
28723,José da Silva Pais,1679-10-25T00:00:00Z,1760-11-14T00:00:00Z
29761,Trdat the Architect,0950-01-01T00:00:00Z,1020-01-01T00:00:00Z
70722,Friedrich Bürklein,1813-03-30T00:00:00Z,1872-12-04T00:00:00Z
70722,Friedrich Bürklein,1813-03-01T00:00:00Z,1872-12-04T00:00:00Z
31475,Edmund Sharpe,1809-10-31T00:00:00Z,1877-05-08T00:00:00Z
78775,Nicolò Pacassi,1716-03-05T00:00:00Z,1790-11-11T00:00:00Z
85541,Hubert Petschnigg,1913-10-31T00:00:00Z,1997-09-15T00:00:00Z
27108,Alexander Spotswood,1676-01-01T00:00:00Z,1740-06-07T00:00:00Z
27040,Giovanni Angelo Montorsoli,1507-01-01T00:00:00Z,1563-08-31T00:00:00Z
85669,Harry Seidler,1923-06-25T00:00:00Z,2006-03-09T00:00:00Z
85557,Paul Engelmann,1891-06-14T00:00:00Z,1965-02-16T00:00:00Z
85557,Paul Engelmann,1891-06-14T00:00:00Z,1965-02-05T00:00:00Z
78705,Kaspar Kraemer,1949-01-01T00:00:00Z,
78694,Wilhelm Koep,1905-05-26T00:00:00Z,1999-06-25T00:00:00Z
78710,Jakob Prandtauer,1660-06-06T00:00:00Z,1726-09-16T00:00:00Z
78836,Luigi Negrelli,1799-01-23T00:00:00Z,1858-10-01T00:00:00Z
70880,Heinrich Ernst Schirmer,1814-08-27T00:00:00Z,1887-12-06T00:00:00Z
34503,Mehmed the Conqueror,1432-04-08T00:00:00Z,1481-05-12T00:00:00Z
36359,Hammurabi,-1809-01-01T00:00:00Z,-1749-01-01T00:00:00Z
78884,Hans Hollein,1934-03-30T00:00:00Z,2014-04-24T00:00:00Z
79098,Albert Schickedanz,1846-10-14T00:00:00Z,1915-07-11T00:00:00Z
70903,Wilhelm von Hanno,1826-12-15T00:00:00Z,1882-12-12T00:00:00Z
78792,Heinrich von Ferstel,1828-07-07T00:00:00Z,1883-07-14T00:00:00Z
78968,August Sicard von Sicardsburg,1813-12-06T00:00:00Z,1868-06-11T00:00:00Z
78819,Raimund Abraham,1933-07-23T00:00:00Z,2010-03-04T00:00:00Z
79113,Friedrich Ohmann,1858-12-21T00:00:00Z,1927-04-06T00:00:00Z
85897,Ulrich Ensingen,1350-01-01T00:00:00Z,1419-02-19T00:00:00Z
62570,Bruce Graham,1925-12-01T00:00:00Z,2010-03-06T00:00:00Z
41508,Ludwig Mies van der Rohe,1886-03-27T00:00:00Z,1969-08-17T00:00:00Z
78856,Antonio Beduzzi,1675-01-01T00:00:00Z,1735-03-04T00:00:00Z
78858,Margarete Schütte-Lihotzky,1897-01-23T00:00:00Z,2000-01-18T00:00:00Z
85804,Bodo Ebhardt,1865-01-05T00:00:00Z,1945-02-13T00:00:00Z
85809,Franz Neumann,1844-01-16T00:00:00Z,1905-02-01T00:00:00Z
62322,Otto Bartning,1883-04-12T00:00:00Z,1959-02-20T00:00:00Z
86158,Peter Thumb,1681-12-18T00:00:00Z,1766-03-04T00:00:00Z
78885,Ettore Sottsass,1917-09-14T00:00:00Z,2007-12-31T00:00:00Z
86064,Hannes Lintl,1924-07-02T00:00:00Z,2003-06-13T00:00:00Z
85911,Oskar Marmorek,1863-04-09T00:00:00Z,1909-04-07T00:00:00Z
85911,Oskar Marmorek,1863-04-09T00:00:00Z,1909-01-01T00:00:00Z
86122,Szymon Bogumił Zug,1733-04-20T00:00:00Z,1807-08-11T00:00:00Z
86122,Szymon Bogumił Zug,1733-02-20T00:00:00Z,1807-08-11T00:00:00Z
86120,Otto Hintze,1861-08-27T00:00:00Z,1940-04-25T00:00:00Z
85724,Franz Beer,1660-04-01T00:00:00Z,1726-01-21T00:00:00Z
85724,Franz Beer,1660-04-01T00:00:00Z,1726-01-19T00:00:00Z
85724,Franz Beer,1659-07-03T00:00:00Z,1726-01-21T00:00:00Z
